samples	group
Pla.B002	before
Pla.B003	before
Pla.B004	before
Pla.B006	before
Pla.B014	before
Pla.B017	before
Pla.B023	before
Pla.B025	before
Pla.B032	before
Pla.B039	before
Pla.B045	before
Pla.B048	before
Pla.B052	before
Pla.B056	before
Pla.B070	before
Pla.B071	before
Pla.B072	before
Pla.B075	before
Pla.B076	before
Pla.B085	before
Pla.B086	before
Pla.B090	before
Pla.B094	before
Pla.B095	before
Pla.B099	before
Pla.B103	before
Pla.B106	before
Pro.B001	before
Pro.B009	before
Pro.B010	before
Pro.B011	before
Pro.B020	before
Pro.B022	before
Pro.B029	before
Pro.B030	before
Pro.B034	before
Pro.B035	before
Pro.B036	before
Pro.B041	before
Pro.B049	before
Pro.B050	before
Pro.B054	before
Pro.B057	before
Pro.B065	before
Pro.B083	before
Pro.B084	before
Pro.B089	before
Pro.B092	before
Pro.B097	before
Pro.B101	before
Pro.B102	before
Pro.B108	before
Pla.B177	before
Pla.B178	before
Pla.B179	before
Pla.B183	before
Pla.B185	before
Pla.B186	before
Pla.B190	before
Pla.B193	before
Pla.B194	before
Pla.B195	before
Pla.B196	before
Pla.B199	before
Pla.B201	before
Pla.B204	before
Pla.B206	before
Pla.B211	before
Pla.B214	before
Pla.B215	before
Pla.B218	before
Pro.B181	before
Pro.B182	before
Pro.B187	before
Pro.B188	before
Pro.B189	before
Pro.B191	before
Pro.B197	before
Pro.B198	before
Pro.B200	before
Pro.B202	before
Pro.B205	before
Pro.B207	before
Pro.B208	before
Pro.B209	before
Pro.B210	before
Pro.B212	before
Pro.B213	before
Pro.B217	before
Pro.B219	before
Pro.B220	before
Pla.T002	after
Pla.T003	after
Pla.T004	after
Pla.T006	after
Pla.T014	after
Pla.T017	after
Pla.T023	after
Pla.T025	after
Pla.T032	after
Pla.T039	after
Pla.T045	after
Pla.T048	after
Pla.T052	after
Pla.T056	after
Pla.T070	after
Pla.T071	after
Pla.T072	after
Pla.T075	after
Pla.T076	after
Pla.T085	after
Pla.T086	after
Pla.T090	after
Pla.T094	after
Pla.T095	after
Pla.T099	after
Pla.T103	after
Pla.T106	after
Pro.T001	after
Pro.T009	after
Pro.T010	after
Pro.T011	after
Pro.T020	after
Pro.T022	after
Pro.T029	after
Pro.T030	after
Pro.T034	after
Pro.T035	after
Pro.T036	after
Pro.T041	after
Pro.T049	after
Pro.T050	after
Pro.T054	after
Pro.T057	after
Pro.T065	after
Pro.T083	after
Pro.T084	after
Pro.T089	after
Pro.T092	after
Pro.T097	after
Pro.T101	after
Pro.T102	after
Pro.T108	after
Pla.T177	after
Pla.T178	after
Pla.T179	after
Pla.T183	after
Pla.T185	after
Pla.T186	after
Pla.T190	after
Pla.T193	after
Pla.T194	after
Pla.T195	after
Pla.T196	after
Pla.T199	after
Pla.T201	after
Pla.T204	after
Pla.T206	after
Pla.T211	after
Pla.T214	after
Pla.T215	after
Pla.T218	after
Pro.T181	after
Pro.T182	after
Pro.T187	after
Pro.T188	after
Pro.T189	after
Pro.T191	after
Pro.T197	after
Pro.T198	after
Pro.T200	after
Pro.T202	after
Pro.T205	after
Pro.T207	after
Pro.T208	after
Pro.T209	after
Pro.T210	after
Pro.T212	after
Pro.T213	after
Pro.T217	after
Pro.T219	after
Pro.T220	after
