sample	group1
GCF_000015385.1	public
GCF_000165775.1	public
GCF_000189515.1	public
GCF_000195355.1	public
GCF_000422165.1	public
GCF_000493335.1	public
GCF_000493455.1	public
GCF_000493515.1	public
GCF_000493555.1	public
GCF_000493575.1	public
GCF_000525715.1	public
GCF_000765455.1	public
GCF_000765465.1	public
GCF_000961015.1	public
GCF_001006025.1	public
GCF_001308285.1	public
GCF_001572805.1	public
GCF_001572815.1	public
GCF_001702095.1	public
GCF_001746265.1	public
GCF_001895375.1	public
GCF_002287645.1	public
GCF_002532085.1	public
GCF_002849915.1	public
GCF_002849935.1	public
GCF_002849955.1	public
GCF_002868275.1	public
GCF_002914985.1	public
GCF_003053085.1	public
GCF_003053205.1	public
GCF_003061825.1	public
GCF_003061845.1	public
GCF_003203795.1	public
GCF_003203805.1	public
GCF_003203815.1	public
GCF_003203875.1	public
GCF_003203895.1	public
GCF_003203905.1	public
GCF_003203915.1	public
GCF_003203955.1	public
GCF_003203975.1	public
GCF_003203985.1	public
GCF_003204015.1	public
GCF_003204025.1	public
GCF_003204055.1	public
GCF_003233715.1	public
GCF_003545995.1	public
GCF_003610975.1	public
GCF_003955865.1	public
GCF_004114755.1	public
GCF_005864165.1	public
GCF_009362875.1	public
GCF_009498395.1	public
GCF_009881115.1	public
GCF_009901645.1	public
GCF_011392295.1	public
GCF_011392325.1	public
GCF_011392375.1	public
GCF_011392385.1	public
GCF_011392415.1	public
GCF_900248185.1	public
GCF_902386585.1	public
LH_h9	public
MLG15_hmeta	MLG15
MLG15_M1_S256	MLG15
MLG15_M1_S257	MLG15
MLG15_M1_S260	MLG15
MLG15_M1_S265	MLG15
MLG15_M1_S278	MLG15
MLG15_M1_S281	MLG15
MLG15_M1_S282	MLG15
MLG15_M1_S285	MLG15
MLG15_M1_S288	MLG15
MLG15_M1_S289	MLG15
MLG15_M1_S290	MLG15
MLG15_M1_S292	MLG15
MLG15_M1_S293	MLG15
WQ8_lhmeta	WQ8
WQ8_M1_S100	WQ8
WQ8_M1_S101	WQ8
WQ8_M1_S102	WQ8
WQ8_M1_S103	WQ8
WQ8_M1_S104	WQ8
WQ8_M1_S107	WQ8
WQ8_M1_S108	WQ8
WQ8_M1_S109	WQ8
WQ8_M1_S110	WQ8
WQ8_M1_S112	WQ8
WQ8_M1_S113	WQ8
WQ8_M1_S114	WQ8
WQ8_M1_S115	WQ8
WQ8_M1_S116	WQ8
WQ8_M1_S118	WQ8
WQ8_M1_S120	WQ8
WQ8_M1_S122	WQ8
WQ8_M1_S123	WQ8
WQ8_M1_S125	WQ8
WQ8_M1_S127	WQ8
