name	Isloated	Phylum
AM33_14BH	gut	Firmicutes
AF17_14	gut	Bacteroidetes
AM16_43	gut	Bacteroidetes
AF14_19	gut	Bacteroidetes
AM25_6	gut	Firmicutes
AF04_45	gut	Firmicutes
OM02_3AC	gut	Firmicutes
OM04_20	gut	Firmicutes
AF24_19	gut	Firmicutes
AF24_21	gut	Firmicutes
AF39_10	gut	Firmicutes
AM12_57B	gut	Firmicutes
AF24_29LB	gut	Bacteroidetes
AF31_29AC	gut	Bacteroidetes
AF46_5GN	gut	Bacteroidetes
AM16_49B	gut	Bacteroidetes
AM22_13LB	gut	Bacteroidetes
AM26_6LB	gut	Bacteroidetes
AM31_16AC	gut	Bacteroidetes
AM44_18	gut	Bacteroidetes
AM54_1GN	gut	Bacteroidetes
OF02_6LB	gut	Bacteroidetes
OF02_8	gut	Bacteroidetes
OM05_21BH	gut	Bacteroidetes
AF17_25	gut	Bacteroidetes
AF22_3AC	gut	Bacteroidetes
AF29_17	gut	Bacteroidetes
AF14_27	gut	Bacteroidetes
AF14_44	gut	Bacteroidetes
AF19_1AC	gut	Bacteroidetes
AF24_2	gut	Bacteroidetes
AM42_38	gut	Bacteroidetes
AF14_1AC	gut	Bacteroidetes
AF27_18BH	gut	Bacteroidetes
OF04_10BH	gut	Bacteroidetes
TM05_24	gut	Bacteroidetes
AF18_1	gut	Bacteroidetes
AF33_15AC	gut	Bacteroidetes
AM10_54	gut	Bacteroidetes
AM14_12	gut	Bacteroidetes
AM18_17	gut	Bacteroidetes
AM26_26AC	gut	Bacteroidetes
AM38_13	gut	Bacteroidetes
AM42_16	gut	Bacteroidetes
AF17_5AC	gut	Bacteroidetes
OM02_29	gut	Bacteroidetes
AF14_14AC	gut	Bacteroidetes
AF14_26	gut	Bacteroidetes
AF15_10LB	gut	Bacteroidetes
AF26_6	gut	Bacteroidetes
AF27_10	gut	Bacteroidetes
AF32_10	gut	Bacteroidetes
AF32_8BH	gut	Bacteroidetes
AF33_30	gut	Bacteroidetes
AF46_2GN	gut	Bacteroidetes
AM13_18	gut	Bacteroidetes
AM15_16	gut	Bacteroidetes
AM16_16A	gut	Bacteroidetes
AM17_19	gut	Bacteroidetes
AM18_6	gut	Bacteroidetes
AM26_13LB	gut	Bacteroidetes
AM31_13AC	gut	Bacteroidetes
AM40_4AC	gut	Bacteroidetes
AM47_7	gut	Bacteroidetes
AM56_10ce	gut	Bacteroidetes
CF01_8	gut	Bacteroidetes
OF01_1	gut	Bacteroidetes
OF03_7	gut	Bacteroidetes
OF05_11AC	gut	Bacteroidetes
OF05_13AC	gut	Bacteroidetes
OM02_11	gut	Bacteroidetes
OM02_9	gut	Bacteroidetes
OM04_9BH	gut	Bacteroidetes
OM05_11	gut	Bacteroidetes
OM06_1	gut	Bacteroidetes
OM06_30AC	gut	Bacteroidetes
TF05_31	gut	Bacteroidetes
TF09_1	gut	Bacteroidetes
TM08_15	gut	Bacteroidetes
AF14_32	gut	Bacteroidetes
AF19_10AC	gut	Bacteroidetes
AF31_23	gut	Bacteroidetes
AF36_16BH	gut	Bacteroidetes
AM15_15	gut	Bacteroidetes
AM27_17	gut	Bacteroidetes
AM27_2	gut	Bacteroidetes
AM43_4	gut	Bacteroidetes
OF03_26	gut	Bacteroidetes
TF12_32	gut	Bacteroidetes
TM06_30	gut	Bacteroidetes
AM40_30BH	gut	Bacteroidetes
OM05_15BH	gut	Bacteroidetes
