contig	group
Birdfece03	Birdfece
Birdfece05	Birdfece
Birdfece06	Birdfece
Birdfece18	Birdfece
Birdfece20	Birdfece
Birdfece22	Birdfece
Birdfece23	Birdfece
Birdfece28	Birdfece
Cattlefece01	Cattlefece
Cattlefece03	Cattlefece
Cattlefece05	Cattlefece
Cattlefece10	Cattlefece
Cattlefece11	Cattlefece
Cattlefece12	Cattlefece
Sheepfece02	Sheepfece
Sheepfece04	Sheepfece
Sheepfece09	Sheepfece
Sheepfece11	Sheepfece
Sheepfece15	Sheepfece
Sheepfece16	Sheepfece
Soil01	Soil
Soil02	Soil
Soil03	Soil
Soil06	Soil
Soil08	Soil
Soil12	Soil
Soil13	Soil
Water01	Water
Water02	Water
