id	phylum
PF1702S	Ascomycota
P7048X-2	Ascomycota
2NP912A	Ascomycota
PB20-03	Ascomycota
PB20-04	Ascomycota
PB3502S	Ascomycota
PDH2504	Ascomycota
PF1704S	Ascomycota
PF2412A	Ascomycota
PF2508S	Ascomycota
PF2509S	Ascomycota
PL40-01	Ascomycota
PM4501B	Ascomycota
PYS008B	Ascomycota
PYS3203	Ascomycota
B20-02	Ascomycota
F30-04	Ascomycota
M20-01	Ascomycota
M20-02	Ascomycota
M30-01	Ascomycota
M7003A	Ascomycota
M7005D	Ascomycota
M7025A	Ascomycota
P20-02	Ascomycota
P20-04	Ascomycota
P30-11	Ascomycota
PA2506	Ascomycota
PA2509	Ascomycota
PA2510	Ascomycota
PA3101	Ascomycota
PB2409	Ascomycota
PB2502	Ascomycota
PB2504	Ascomycota
PB2505	Ascomycota
PB3102	Ascomycota
PB3103	Ascomycota
PB3904	Ascomycota
PF1803	Ascomycota
PF2411	Ascomycota
PF3401	Ascomycota
PG2501	Ascomycota
PG2901	Ascomycota
PG2902	Ascomycota
PG3507	Ascomycota
PG4202	Ascomycota
PH1708	Ascomycota
PH2403	Ascomycota
PH3801	Ascomycota
PH4033	Ascomycota
PH4103	Ascomycota
PK3604	Ascomycota
PL1801	Ascomycota
PM3203	Ascomycota
PM3404	Ascomycota
PT1701	Ascomycota
PT2503	Ascomycota
PT2504	Ascomycota
PT2506	Ascomycota
PT4103	Ascomycota
R1202D	Ascomycota
R1211B	Ascomycota
R20-04	Ascomycota
R20-05	Ascomycota
R20-08	Ascomycota
S1126A	Ascomycota
S20-02	Ascomycota
S2705F	Ascomycota
S40-01	Ascomycota
X20-07	Ascomycota
X2502D	Ascomycota
Y2401C	Ascomycota
Y40-02	Ascomycota
B3902	Ascomycota
B8014	Ascomycota
D2Mb	Ascomycota
M1327	Ascomycota
M1705	Ascomycota
M1707	Ascomycota
M2201	Ascomycota
M2202	Ascomycota
M2203	Ascomycota
P8002	Ascomycota
P8015	Ascomycota
R1210	Ascomycota
R13B	Ascomycota
R2202	Ascomycota
R2416	Ascomycota
R2501	Ascomycota
R2503	Ascomycota
R3104	Ascomycota
R3301	Ascomycota
R3406	Ascomycota
R4101	Ascomycota
R4403	Ascomycota
S1301	Ascomycota
S1302	Ascomycota
S1316	Ascomycota
S1602	Ascomycota
S1701	Ascomycota
S1708	Ascomycota
S2401	Ascomycota
S2404	Ascomycota
S2406	Ascomycota
S2504	Ascomycota
S3404	Ascomycota
S3406	Ascomycota
Y1301	Ascomycota
Y1702	Ascomycota
Y2401	Ascomycota
Y3303	Ascomycota
Y6003	Ascomycota
PDH20-03	Ascomycota
PDH20-04	Ascomycota
F8013-2	Ascomycota
M40-03A	Ascomycota
M40-03B	Ascomycota
P1003-2	Ascomycota
P2701V1	Ascomycota
PA40-03	Ascomycota
PB30-11	Ascomycota
PDH1703	Ascomycota
PG3606C	Ascomycota
PG3606D	Ascomycota
PG40-03	Ascomycota
PK20-01	Ascomycota
PL2201W	Ascomycota
PL2204A	Ascomycota
PT30-03	Ascomycota
PYS2101	Ascomycota
PYS2105	Ascomycota
PYS3901	Ascomycota
PYS4201	Ascomycota
PYS4240	Ascomycota
PYS4241	Ascomycota
R30-21B	Ascomycota
S1115-2	Ascomycota
S2702-2	Ascomycota
Y2001A1	Ascomycota
2NF922	Ascomycota
2NF923	Ascomycota
2NF925	Ascomycota
B7001B	Ascomycota
B7004A	Ascomycota
M3602C	Ascomycota
M3602D	Ascomycota
M3603A	Ascomycota
P3406A	Ascomycota
PA1607	Ascomycota
PA2101	Ascomycota
PA2202	Ascomycota
PA2902	Ascomycota
PA3604	Ascomycota
PA4301	Ascomycota
PB2201	Ascomycota
PB2203	Ascomycota
PB2407	Ascomycota
PB2712	Ascomycota
PB4102	Ascomycota
PB4105	Ascomycota
PB4106	Ascomycota
PB4204	Ascomycota
PB4205	Ascomycota
PB4306	Ascomycota
PB4404	Ascomycota
PF1804	Ascomycota
PF1904	Ascomycota
PF2201	Ascomycota
PF30-2	Ascomycota
PF3501	Ascomycota
PG2406	Ascomycota
PG3602	Ascomycota
PG3603	Ascomycota
PG3604	Ascomycota
PG3605	Ascomycota
PG3607	Ascomycota
PG3608	Ascomycota
PH1799	Ascomycota
PH2503	Ascomycota
PH3601	Ascomycota
PH4002	Ascomycota
PK1002	Ascomycota
PK2410	Ascomycota
PL2702	Ascomycota
PL2703	Ascomycota
PM1702	Ascomycota
PM1903	Ascomycota
PM1906	Ascomycota
PM3601	Ascomycota
PM3602	Ascomycota
PM3604	Ascomycota
PM4304	Ascomycota
PS2001	Ascomycota
PT2405	Ascomycota
PT4101	Ascomycota
PT4102	Ascomycota
PT4105	Ascomycota
PYS010	Ascomycota
R1202B	Ascomycota
R20-06	Ascomycota
RG13B1	Ascomycota
S1101B	Ascomycota
S1107B	Ascomycota
S1802E	Ascomycota
S1902Y	Ascomycota
S1903S	Ascomycota
S2101G	Ascomycota
S2111G.1	Ascomycota
S2111Y	Ascomycota
S3811C	Ascomycota
S3811D	Ascomycota
S4401N	Ascomycota
Y3015B	Ascomycota
Y4002A	Ascomycota
Y4009A	Ascomycota
B3601	Ascomycota
B3604	Ascomycota
B3605	Ascomycota
F1702	Ascomycota
F1804	Ascomycota
F1902	Ascomycota
F1903	Ascomycota
F2701	Ascomycota
F3601	Ascomycota
F3603	Ascomycota
F3604	Ascomycota
F3605	Ascomycota
F4019	Ascomycota
F8013	Ascomycota
M-2-1	Ascomycota
M1650	Ascomycota
M1901	Ascomycota
M3601	Ascomycota
M3604	Ascomycota
M3605	Ascomycota
M3606	Ascomycota
M4010	Ascomycota
M4029	Ascomycota
P1402	Ascomycota
P8043	Ascomycota
PG009	Ascomycota
PN005	Ascomycota
R1430	Ascomycota
R1620	Ascomycota
R1650	Ascomycota
R1809	Ascomycota
R1907	Ascomycota
R2302	Ascomycota
R2305	Ascomycota
R2309	Ascomycota
R2404	Ascomycota
R2407	Ascomycota
R2504	Ascomycota
R2506	Ascomycota
R2804	Ascomycota
R2805	Ascomycota
R2806	Ascomycota
R3602	Ascomycota
R3607	Ascomycota
R4201	Ascomycota
R4203	Ascomycota
R4506	Ascomycota
R4604	Ascomycota
S1118	Ascomycota
S1133	Ascomycota
S1603	Ascomycota
S1702	Ascomycota
S1801	Ascomycota
S1905	Ascomycota
S1907	Ascomycota
S2103	Ascomycota
S2105	Ascomycota
S2109	Ascomycota
S2202	Ascomycota
S2209	Ascomycota
S2702	Ascomycota
S2805	Ascomycota
S2904	Ascomycota
S3103	Ascomycota
S3505	Ascomycota
S3602	Ascomycota
S3605	Ascomycota
S3606	Ascomycota
S3901	Ascomycota
S4102	Ascomycota
S4402	Ascomycota
X1902	Ascomycota
Y1650	Ascomycota
Y1703	Ascomycota
Y2007	Ascomycota
Y2012	Ascomycota
Y2702	Ascomycota
Y3614	Ascomycota
Y3805	Ascomycota
Y4020	Ascomycota
X1802G	Ascomycota
X1802H	Ascomycota
2NP9F	Ascomycota
B2702	Ascomycota
R1201	Ascomycota
S3802	Ascomycota
X1803	Ascomycota
Y3903	Ascomycota
Y3904	Ascomycota
PF1801	Ascomycota
PT3202	Ascomycota
R4402	Ascomycota
PYS4301M	Ascomycota
R2409	Ascomycota
PK30-01	Ascomycota
PT30-03-2	Ascomycota
S3808	Ascomycota
PH4021C	Basidiomycota
PH4008	Basidiomycota
2NP905A	Basidiomycota
2NF920	Basidiomycota
P9004	Basidiomycota
R9020	Basidiomycota
PA4241B	Ascomycota
PG30-16	Ascomycota
PG4419B	Ascomycota
PYS009A	Ascomycota
PYS4401	Ascomycota
R2109-2	Ascomycota
2NR911	Ascomycota
F1002B	Ascomycota
