samples	group
Pla.T002	before
Pla.T003	before
Pla.T004	before
Pla.T006	before
Pla.T014	before
Pla.T017	before
Pla.T023	before
Pla.T025	before
Pla.T032	before
Pla.T039	before
Pla.T045	before
Pla.T048	before
Pla.T052	before
Pla.T056	before
Pla.T070	before
Pla.T071	before
Pla.T072	before
Pla.T075	before
Pla.T076	before
Pla.T085	before
Pla.T086	before
Pla.T090	before
Pla.T094	before
Pla.T095	before
Pla.T099	before
Pla.T103	before
Pla.T106	before
Pro.T001	before
Pro.T009	before
Pro.T010	before
Pro.T011	before
Pro.T020	before
Pro.T022	before
Pro.T029	before
Pro.T030	before
Pro.T034	before
Pro.T035	before
Pro.T036	before
Pro.T041	before
Pro.T049	before
Pro.T050	before
Pro.T054	before
Pro.T057	before
Pro.T065	before
Pro.T083	before
Pro.T084	before
Pro.T089	before
Pro.T092	before
Pro.T097	before
Pro.T101	before
Pro.T102	before
Pro.T108	before
Pla.T177	before
Pla.T178	before
Pla.T179	before
Pla.T183	before
Pla.T185	before
Pla.T186	before
Pla.T190	before
Pla.T193	before
Pla.T194	before
Pla.T195	before
Pla.T196	before
Pla.T199	before
Pla.T201	before
Pla.T204	before
Pla.T206	before
Pla.T211	before
Pla.T214	before
Pla.T215	before
Pla.T218	before
Pro.T181	before
Pro.T182	before
Pro.T187	before
Pro.T188	before
Pro.T189	before
Pro.T191	before
Pro.T197	before
Pro.T198	before
Pro.T200	before
Pro.T202	before
Pro.T205	before
Pro.T207	before
Pro.T208	before
Pro.T209	before
Pro.T210	before
Pro.T212	before
Pro.T213	before
Pro.T217	before
Pro.T219	before
Pro.T220	before
Pla.B002	after
Pla.B003	after
Pla.B004	after
Pla.B006	after
Pla.B014	after
Pla.B017	after
Pla.B023	after
Pla.B025	after
Pla.B032	after
Pla.B039	after
Pla.B045	after
Pla.B048	after
Pla.B052	after
Pla.B056	after
Pla.B070	after
Pla.B071	after
Pla.B072	after
Pla.B075	after
Pla.B076	after
Pla.B085	after
Pla.B086	after
Pla.B090	after
Pla.B094	after
Pla.B095	after
Pla.B099	after
Pla.B103	after
Pla.B106	after
Pro.B001	after
Pro.B009	after
Pro.B010	after
Pro.B011	after
Pro.B020	after
Pro.B022	after
Pro.B029	after
Pro.B030	after
Pro.B034	after
Pro.B035	after
Pro.B036	after
Pro.B041	after
Pro.B049	after
Pro.B050	after
Pro.B054	after
Pro.B057	after
Pro.B065	after
Pro.B083	after
Pro.B084	after
Pro.B089	after
Pro.B092	after
Pro.B097	after
Pro.B101	after
Pro.B102	after
Pro.B108	after
Pla.B177	after
Pla.B178	after
Pla.B179	after
Pla.B183	after
Pla.B185	after
Pla.B186	after
Pla.B190	after
Pla.B193	after
Pla.B194	after
Pla.B195	after
Pla.B196	after
Pla.B199	after
Pla.B201	after
Pla.B204	after
Pla.B206	after
Pla.B211	after
Pla.B214	after
Pla.B215	after
Pla.B218	after
Pro.B181	after
Pro.B182	after
Pro.B187	after
Pro.B188	after
Pro.B189	after
Pro.B191	after
Pro.B197	after
Pro.B198	after
Pro.B200	after
Pro.B202	after
Pro.B205	after
Pro.B207	after
Pro.B208	after
Pro.B209	after
Pro.B210	after
Pro.B212	after
Pro.B213	after
Pro.B217	after
Pro.B219	after
Pro.B220	after
