ID	A10R	A11R	A12R	A13R	A14R	A15R	A16R	A17R	A18R	A19R	A1R	A20R	A21R	A22R	A23R	A24R	A25R	A26R	A27R	A28R	A29R	A2R	A30R	A31R	A32R	A33R	A34R	A35R	A36R	A37R	A38R	A39R	A3R	A40R	A41R	A42R	A43R	A44R	A45R	A46R	A47R	A48R	A49R	A4R	A50R	A51R	A52R	A53R	A54R	A55R	A56R	A57R	A58R	A59R	A5R	A60R	A6R	A7R	A8R	A9R
A32R_scaffold30|length_1946	510	8209	1933	20293	840	304	4084	2519	2125	2314	17	5950	17309	8044	4176	23270	10424	1228	244	1178	17706	17	659	321	1505	361	1134	7	248	725	1184	0	610	134	1070	726	1103	290	0	254	542	1101	605	283	949	826	953	832	2029	423	145	241	4	1055	1398	21905	11349	2129	213	23402
A38R_scaffold52|length_3618	2351	3661	4833	1007	7570	19591	12461	1928	12490	1449	54	975	436	706	525	669	3817	85	1361	790	2108	5857	6710	15057	2269	5890	8928	2710	215	686	774	2	1625	82	929	170	594	6894	0	30	2673	425	144	858	301	128	138	284	49	67	129	6	0	190	24031	139	5151	12162	271	1385
A35R_scaffold247|length_1690	1596	3136	3122	577	3322	7060	6566	3270	9711	748	161	750	220	469	166	343	2253	32	344	3	647	986	3019	18197	7229	6236	20936	1206	581	429	26	562	10245	87	3089	388	1761	22780	142	0	1511	86	107	1050	1224	427	304	57	727	96	119	21	0	40	4778	714	1048	5494	267	1328
A38R_scaffold267|length_1507	1653	1785	1647	1731	250	447	980	931	293	917	1	1930	2170	1536	1403	5517	2599	483	291	782	3055	3	2240	517	2362	505	585	6	204	321	940	1	517	160	2280	491	3005	495	1	89	678	1537	490	323	11052	1639	3238	988	1561	2648	88	157	3	1988	174	1278	943	526	99	2870
A38R_scaffold732|length_921	838	329	739	66	208	388	66	2324	877	420	7	220	113	1320	490	91	234	277	309	661	424	3	365	3	459	143	1373	3	136	937	1143	1	1506	87	1224	123	372	347	0	47	1175	943	172	219	1483	13199	18617	141	10632	5877	364	371	1	1004	189	683	1604	326	26	248
A57R_scaffold2|length_4056	6	1	344	9	1	7	2240	19	44	4	4	35	8	29	120	64	98	685	19	2857	58	118	34	2	1607	7	61	5	1581	2684	1635	1	768	392	1777	20	11	5	0	601	3346	4945	9271	15807	1144	87	60	4749	44	776	1955	104	0	2688	1274	183	245	1063	283	7
A8R_scaffold107|length_1570	1681	1181	798	83	938	48	290	2900	958	1948	6547	1134	412	425	992	415	1042	86	2309	28	1226	2085	1472	3	43	1089	85	484	368	63	10	510	1400	2479	233	60	122	66	759	2	40	166	35	361	264	438	611	26	353	349	401	689	0	183	281	632	1244	951	5796	892
A38R_scaffold1371|length_673	2781	516	785	208	1536	669	356	780	283	2543	7	3122	552	620	511	634	693	86	729	61	327	6	759	769	650	297	445	1	10	60	107	0	1559	4	1365	155	2181	706	0	13	278	1459	353	629	932	4131	2519	95	2221	2814	11	131	0	1104	119	697	756	663	195	413
A35R_scaffold264|length_1662	2295	842	750	287	1197	436	487	973	346	1648	78	1407	878	603	503	844	1122	98	523	6	1279	127	932	667	395	328	246	2553	2083	13	10	1964	1513	58	1216	155	1083	174	702	11	334	404	209	323	555	1824	1648	102	1075	3701	683	191	1	1007	162	573	784	720	199	623
A1R_scaffold365|length_986	80	70	15	12	59	5	19	51	32	31	4877	31	29	7	141	17	219	0	87	8	7	2992	19	10	15	3777	10	2758	2152	96	3	3607	1108	2480	219	15	96	29	3129	6	55	37	18	282	7	68	60	1	141	61	3196	71	1	61	97	91	300	60	8468	42
