sample	group
GCF_000006865.1	public
GCF_000025045.1	public
GCF_000192705.1	public
GCF_000284735.1	public
GCF_000344575.1	public
GCF_000348965.1	public
GCF_000442845.1	public
GCF_000447905.1	public
GCF_000447985.1	public
GCF_000478255.1	public
GCF_000488975.1	public
GCF_000493355.1	public
GCF_000615405.1	public
GCF_000703145.1	public
GCF_000721865.3	public
GCF_000759595.1	public
GCF_000761115.1	public
GCF_000761565.1	public
GCF_000786755.1	public
GCF_000807375.1	public
GCF_000835975.1	public
GCF_001017475.1	public
GCF_001311315.1	public
GCF_001437565.1	public
GCF_001455265.1	public
GCF_001456385.1	public
GCF_001456455.1	public
GCF_001456475.1	public
GCF_001456495.1	public
GCF_001456505.1	public
GCF_001456525.1	public
GCF_001456545.1	public
GCF_001456575.1	public
GCF_001456595.1	public
GCF_001456615.1	public
GCF_001456625.1	public
GCF_001456655.1	public
GCF_001456675.1	public
GCF_001456685.1	public
GCF_001456695.1	public
GCF_001456725.1	public
GCF_001456755.1	public
GCF_001456775.1	public
GCF_001456785.1	public
GCF_001456795.1	public
GCF_001456835.1	public
GCF_001456855.1	public
GCF_001456865.1	public
GCF_001514475.1	public
GCF_001540895.1	public
GCF_001591725.1	public
GCF_001622235.1	public
GCF_001672265.1	public
GCF_001984785.1	public
GCF_002078415.1	public
GCF_002078435.1	public
GCF_002078475.2	public
GCF_002078495.1	public
GCF_002078855.1	public
GCF_002078975.2	public
GCF_002078995.2	public
GCF_002115705.1	public
GCF_002148215.1	public
GCF_002276665.1	public
GCF_002276835.1	public
GCF_002277015.1	public
GCF_002441785.1	public
GCF_002441815.1	public
GCF_002554775.1	public
GCF_002563455.1	public
GCF_002563475.1	public
GCF_002563535.1	public
GCF_002563575.1	public
GCF_002563615.1	public
GCF_002804185.1	public
GCF_002804285.1	public
GCF_002866835.1	public
GCF_002895225.1	public
GCF_002926075.1	public
GCF_003176835.1	public
GCF_003472365.1	public
GCF_003594665.1	public
GCF_003627395.1	public
GCF_003627415.1	public
GCF_003722255.1	public
GCF_003722275.1	public
GCF_003838305.1	public
GCF_003838315.1	public
GCF_003838345.1	public
GCF_003838385.1	public
GCF_003838425.1	public
GCF_003839605.1	public
GCF_003839645.1	public
GCF_003839705.1	public
GCF_003839715.1	public
GCF_003839745.1	public
GCF_003839805.1	public
GCF_003841225.1	public
GCF_003841265.1	public
GCF_003841285.1	public
GCF_003841315.1	public
GCF_003841345.1	public
GCF_003841365.1	public
GCF_003841385.1	public
GCF_003841395.1	public
GCF_004022375.1	public
GCF_004123105.1	public
GCF_004194355.1	public
GCF_004354485.1	public
GCF_004795205.1	public
GCF_005146285.1	public
GCF_005864305.1	public
GCF_006146065.1	public
GCF_006351065.1	public
GCF_006538925.1	public
GCF_007096405.1	public
GCF_007096415.1	public
GCF_007097605.1	public
GCF_007097625.1	public
GCF_007109175.1	public
GCF_007954765.1	public
GCF_008180075.1	public
GCF_008692945.1	public
GCF_008728875.1	public
GCF_009497135.1	public
GCF_009661795.1	public
GCF_009661855.1	public
GCF_009661865.1	public
GCF_009661875.1	public
GCF_009661885.1	public
GCF_009661935.1	public
GCF_009661955.1	public
GCF_009661965.1	public
GCF_009661985.1	public
GCF_009662035.1	public
GCF_009662055.1	public
GCF_009662075.1	public
GCF_009662085.1	public
GCF_009663915.1	public
GCF_009663925.1	public
GCF_009663935.1	public
GCF_009741875.1	public
GCF_009885055.1	public
GCF_010974735.1	public
GCF_010974745.1	public
GCF_010974775.1	public
GCF_010974785.1	public
GCF_012689205.1	public
GCF_013007555.1	public
GCF_900088425.1	public
GCF_900099625.1	public
GCF_900240925.1	public
GCF_900240935.1	public
GCF_900240955.1	public
GCF_900240965.1	public
GCF_900248205.1	public
GCF_900291885.1	public
GCF_900291895.1	public
GCF_902364565.1	public
L29_M2_S119	L29
L29_M2_S120	L29
L29_M2_S122	L29
L29_M2_S123	L29
L29_M2_S124	L29
L29_M2_S125	L29
L29_M2_S126	L29
L29_M2_S127	L29
L29_M2_S128	L29
L29_M2_S129	L29
L29_M2_S132	L29
L29_M2_S135	L29
L29_M2_S136	L29
L29_M2_S137	L29
L29_M2_S138	L29
L29_M2_S140	L29
L29_M2_S141	L29
L29_M2_S143	L29
L29_M2_S145	L29
L29_M2_S147	L29
L29_M2_S148	L29
L29_M2_S149	L29
L29_M2_S151	L29
L29_M2_S152	L29
L29_M2_S153	L29
L29_M2_S154	L29
L29_M2_S155	L29
L29_M2_S156	L29
L29_M2_S157	L29
L29_M2_S158	L29
L29_M2_S159	L29
L29_M2_S161	L29
L29_M2_S164	L29
L29_M2_S173	L29
L29_M2_S176	L29
L29_M2_S180	L29
L29_M2_S182	L29
L29_M2_S183	L29
L29_M2_S184	L29
L29_M2_S190	L29
L29_meta	L29
MLG15_M2_S261	MLG15
MLG15_M2_S262	MLG15
MLG15_M2_S264	MLG15
MLG15_M2_S269	MLG15
MLG15_M2_S270	MLG15
MLG15_M2_S272	MLG15
MLG15_M2_S274	MLG15
MLG15_M2_S291	MLG15
MLG15_M2_S315	MLG15
MLG15_M2_S316	MLG15
MLG15_M2_S317	MLG15
MLG15_M2_S319	MLG15
MLG15_M2_S322	MLG15
MLG15_M2_S328	MLG15
MLG15_meta	MLG15
MLG6_M2_S203	MLG6
MLG6_M2_S205	MLG6
MLG6_M2_S206	MLG6
MLG6_M2_S207	MLG6
MLG6_M2_S208	MLG6
MLG6_M2_S209	MLG6
MLG6_M2_S210	MLG6
MLG6_M2_S211	MLG6
MLG6_M2_S212	MLG6
MLG6_M2_S213	MLG6
MLG6_M2_S214	MLG6
MLG6_M2_S215	MLG6
MLG6_M2_S216	MLG6
MLG6_M2_S217	MLG6
MLG6_M2_S218	MLG6
MLG6_M2_S221	MLG6
MLG6_M2_S222	MLG6
MLG6_M2_S223	MLG6
MLG6_M2_S224	MLG6
MLG6_M2_S225	MLG6
MLG6_M2_S227	MLG6
MLG6_M2_S231	MLG6
MLG6_M2_S232	MLG6
MLG6_M2_S233	MLG6
MLG6_M2_S234	MLG6
MLG6_M2_S235	MLG6
MLG6_M2_S236	MLG6
MLG6_M2_S238	MLG6
MLG6_M2_S239	MLG6
MLG6_M2_S240	MLG6
MLG6_M2_S241	MLG6
MLG6_M2_S242	MLG6
MLG6_M2_S243	MLG6
MLG6_M2_S245	MLG6
MLG6_M2_S246	MLG6
MLG6_M2_S247	MLG6
MLG6_M2_S248	MLG6
MLG6_M2_S249	MLG6
MLG6_M2_S250	MLG6
MLG6_M2_S251	MLG6
MLG6_M2_S252	MLG6
MLG6_M2_S253	MLG6
MLG6_M2_S254	MLG6
MLG6_meta	MLG6
