genome1	2NF903A	2NF903B	2NF920	2NF922	2NF923	2NF925	2NF929A	2NM914A	2NP905A	2NP912A	2NP920	2NP930A	2NP9F	2NR911	2NR913A	2NR914	B1101	B1109	B1112B	B11D1	B14P1	B1514	B1607	B20-02	B2702	B3601	B3604
2NF903A	0	0.000780642	1	1	1	1	1	9.55E-05	1	1	0.295981	0.295981	1	1	0.295981	0.295981	1	1	1	0.263022	1	1	1	1	1	1	1
2NF903B	0.000780642	0	1	1	1	1	0.295981	0.00083071	1	1	0.295981	0.295981	1	1	0.295981	0.295981	1	1	1	0.263022	1	1	1	1	1	1	1
2NF920	1	1	0	1	1	1	1	1	9.55E-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2NF922	1	1	1	0	0.000143528	7.16E-05	1	1	1	0.295981	1	1	1	1	1	1	1	1	1	0.295981	1	1	1	0.295981	1	0.006454527	0.263022
2NF923	1	1	1	0.000143528	0	7.16E-05	1	1	1	0.295981	1	1	1	1	1	1	1	1	1	0.295981	1	1	1	0.295981	1	0.006558716	0.263022
2NF925	1	1	1	7.16E-05	7.16E-05	0	1	1	1	0.295981	1	1	1	1	1	1	1	1	1	0.295981	1	1	1	0.295981	1	0.006489217	0.263022
2NF929A	1	0.295981	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.295981	1	1
2NM914A	9.55E-05	0.00083071	1	1	1	1	1	0	1	1	0.295981	0.295981	1	1	0.295981	0.295981	1	1	1	0.263022	1	1	1	1	1	1	1
2NP905A	1	1	9.55E-05	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2NP912A	1	1	1	0.295981	0.295981	0.295981	1	1	1	0	1	1	1	1	1	1	1	1	1	0.295981	1	1	1	0.002969027	1	0.295981	1
2NP920	0.295981	0.295981	1	1	1	1	1	0.295981	1	1	0	0.00083071	1	1	0	0	1	1	1	0.295981	1	1	1	1	1	1	1
2NP930A	0.295981	0.295981	1	1	1	1	1	0.295981	1	1	0.00083071	0	1	1	0.00083071	0.00083071	1	1	1	0.295981	1	1	1	1	1	1	1
2NP9F	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0.243761	1	1
2NR911	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0.263022	1	1	1	1
2NR913A	0.295981	0.295981	1	1	1	1	1	0.295981	1	1	0	0.00083071	1	1	0	0	1	1	1	0.295981	1	1	1	1	1	1	1
2NR914	0.295981	0.295981	1	1	1	1	1	0.295981	1	1	0	0.00083071	1	1	0	0	1	1	1	0.295981	1	1	1	1	1	1	1
B1101	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	4.77E-05	2.38E-05	1	1	0.295981	1	1	1	1	1
B1109	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4.77E-05	0	2.38E-05	1	1	0.295981	1	1	1	1	1
B1112B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.38E-05	2.38E-05	0	1	1	0.295981	1	1	1	1	1
B11D1	0.263022	0.263022	1	0.295981	0.295981	0.295981	1	0.263022	1	0.295981	0.295981	0.295981	1	1	0.295981	0.295981	1	1	1	0	1	1	1	0.295981	1	0.295981	0.295981
B14P1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0.263022
B1514	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.295981	0.295981	0.295981	1	1	0	0.263022	1	1	1	1
B1607	1	1	1	1	1	1	1	1	1	1	1	1	1	0.263022	1	1	1	1	1	1	1	0.263022	0	1	1	1	1
B20-02	1	1	1	0.295981	0.295981	0.295981	1	1	1	0.002969027	1	1	1	1	1	1	1	1	1	0.295981	1	1	1	0	1	0.295981	1
B2702	1	1	1	1	1	1	0.295981	1	1	1	1	1	0.243761	1	1	1	1	1	1	1	1	1	1	1	0	1	1
B3601	1	1	1	0.006454527	0.006558716	0.006489217	1	1	1	0.295981	1	1	1	1	1	1	1	1	1	0.295981	1	1	1	0.295981	1	0	0.263022
B3604	1	1	1	0.263022	0.263022	0.263022	1	1	1	1	1	1	1	1	1	1	1	1	1	0.295981	0.263022	1	1	1	1	0.263022	0
