sample	gro	gro1
GCF_000014405.1	NCBI	NCBI
GCF_000056065.1	NCBI	NCBI
GCF_000179375.1	NCBI	NCBI
GCF_000182835.1	NCBI	NCBI
GCF_000191165.1	NCBI	NCBI
GCF_000192165.1	NCBI	NCBI
GCF_000284695.1	NCBI	NCBI
GCF_000284715.1	NCBI	NCBI
GCF_000387565.1	NCBI	NCBI
GCF_000409675.1	NCBI	NCBI
GCF_000751235.1	NCBI	NCBI
GCF_000751275.1	NCBI	NCBI
GCF_000751635.1	NCBI	NCBI
GCF_000751655.1	NCBI	NCBI
GCF_000751695.1	NCBI	NCBI
GCF_000751895.1	NCBI	NCBI
GCF_001189855.1	NCBI	NCBI
GCF_001190005.1	NCBI	NCBI
GCF_001263315.1	NCBI	NCBI
GCF_001433875.1	NCBI	NCBI
GCF_001434635.1	NCBI	NCBI
GCF_001435795.1	NCBI	NCBI
GCF_001437195.1	NCBI	NCBI
GCF_001437485.1	NCBI	NCBI
GCF_001469775.1	NCBI	NCBI
GCF_001510975.1	NCBI	NCBI
GCF_001624905.1	NCBI	NCBI
GCF_001624925.1	NCBI	NCBI
GCF_001647065.1	NCBI	NCBI
GCF_001888905.1	NCBI	NCBI
GCF_001888925.1	NCBI	NCBI
GCF_001888945.1	NCBI	NCBI
GCF_001888965.1	NCBI	NCBI
GCF_001888985.1	NCBI	NCBI
GCF_001908415.1	NCBI	NCBI
GCF_001908495.1	NCBI	NCBI
GCF_001953135.1	NCBI	NCBI
GCF_002000885.1	NCBI	NCBI
GCF_002016675.1	NCBI	NCBI
GCF_002142575.1	NCBI	NCBI
GCF_002278095.1	NCBI	NCBI
GCF_002285775.1	NCBI	NCBI
GCF_002847905.1	NCBI	NCBI
GCF_003034905.1	NCBI	NCBI
GCF_003326615.1	NCBI	NCBI
GCF_003351805.1	NCBI	NCBI
GCF_003545935.1	NCBI	NCBI
GCF_003597655.1	NCBI	NCBI
GCF_004122955.1	NCBI	NCBI
GCF_004123065.1	NCBI	NCBI
GCF_004211505.1	NCBI	NCBI
GCF_004211735.1	NCBI	NCBI
GCF_004354615.1	NCBI	NCBI
GCF_005864055.1	NCBI	NCBI
GCF_005864125.1	NCBI	NCBI
GCF_006538625.1	NCBI	NCBI
GCF_006538645.1	NCBI	NCBI
GCF_006538685.1	NCBI	NCBI
GCF_006539405.1	NCBI	NCBI
GCF_006704185.1	NCBI	NCBI
GCF_006740305.1	NCBI	NCBI
GCF_008014735.1	NCBI	NCBI
GCF_008016355.1	NCBI	NCBI
GCF_009362855.1	NCBI	NCBI
GCF_009734125.1	NCBI	NCBI
GCF_011044195.1	NCBI	NCBI
GCF_900196735.1	NCBI	NCBI
GCF_900322585.1	NCBI	NCBI
GCF_902374335.1	NCBI	NCBI
KG8_M4meta	KG8	study
KG8_M4_S10	KG8	study
KG8_M4_S12	KG8	study
KG8_M4_S14	KG8	study
KG8_M4_S17	KG8	study
KG8_M4_S26	KG8	study
KG8_M4_S2	KG8	study
KG8_M4_S3	KG8	study
KG8_M4_S41	KG8	study
KG8_M4_S42	KG8	study
KG8_M4_S43	KG8	study
KG8_M4_S46	KG8	study
KG8_M4_S48	KG8	study
KG8_M4_S4	KG8	study
KG8_M4_S50	KG8	study
KG8_M4_S53	KG8	study
KG8_M4_S55	KG8	study
KG8_M4_S57	KG8	study
KG8_M4_S58	KG8	study
KG8_M4_S59	KG8	study
KG8_M4_S61	KG8	study
KG8_M4_S6	KG8	study
KG8_M4_S8	KG8	study
L3_M4meta	L3	study
L3_M4_S100	L3	study
L3_M4_S101	L3	study
L3_M4_S102	L3	study
L3_M4_S105	L3	study
L3_M4_S106	L3	study
L3_M4_S107	L3	study
L3_M4_S108	L3	study
L3_M4_S110	L3	study
