	GCF_000014405.1	GCF_000751275.1	GCF_000409675.1	GCF_000191165.1	GCF_000284715.1	GCF_000192165.1	GCF_000056065.1	GCF_000179375.1	GCF_000387565.1	GCF_000182835.1	GCF_000751235.1	GCF_000284695.1	GCF_000751635.1	GCF_000751655.1	GCF_000751695.1	GCF_000751895.1	GCF_001189855.1	GCF_001190005.1	GCF_001263315.1	GCF_001433875.1	GCF_001434635.1	GCF_001435795.1	GCF_001437195.1	GCF_001437485.1	GCF_001469775.1	GCF_001510975.1	GCF_001624905.1	GCF_001624925.1	GCF_001647065.1	GCF_001888905.1	GCF_001888925.1	GCF_001888945.1	GCF_001888965.1	GCF_001888985.1	GCF_001908415.1	GCF_001908495.1	GCF_001953135.1	GCF_002000885.1	GCF_002016675.1	GCF_002142575.1	GCF_002278095.1	GCF_002285775.1	GCF_002847905.1	GCF_003034905.1	GCF_003326615.1	GCF_003351805.1	GCF_003545935.1	GCF_003597655.1	GCF_004122955.1	GCF_004123065.1	GCF_004211505.1	GCF_004211735.1	GCF_004354615.1	GCF_005864055.1	GCF_005864125.1	GCF_006538625.1	GCF_006538645.1	GCF_006538685.1	GCF_006539405.1	GCF_006704185.1	GCF_006740305.1	GCF_008014735.1	GCF_008016355.1	GCF_009362855.1	GCF_009734125.1	GCF_011044195.1	GCF_900196735.1	GCF_900322585.1	GCF_902374335.1	KG8_M4meta	KG8_M4_S10	KG8_M4_S12	KG8_M4_S14	KG8_M4_S17	KG8_M4_S26	KG8_M4_S2	KG8_M4_S3	KG8_M4_S41	KG8_M4_S42	KG8_M4_S43	KG8_M4_S46	KG8_M4_S48	KG8_M4_S4	KG8_M4_S50	KG8_M4_S53	KG8_M4_S55	KG8_M4_S57	KG8_M4_S58	KG8_M4_S59	KG8_M4_S61	KG8_M4_S6	KG8_M4_S8	L3_M4meta	L3_M4_S100	L3_M4_S101	L3_M4_S102	L3_M4_S105	L3_M4_S106	L3_M4_S107	L3_M4_S108	L3_M4_S110	L3_M4_S111	L3_M4_S112	L3_M4_S113	L3_M4_S114	L3_M4_S115	L3_M4_S116	L3_M4_S117	L3_M4_S118	L3_M4_S119	L3_M4_S120	L3_M4_S121	L3_M4_S122	L3_M4_S123	L3_M4_S124	L3_M4_S125	L3_M4_S126	L3_M4_S127	L3_M4_S128	L3_M4_S129	L3_M4_S130	L3_M4_S131	L3_M4_S132	L3_M4_S133	L3_M4_S134	L3_M4_S135	L3_M4_S136	L3_M4_S137	L3_M4_S165	L3_M4_S178	L3_M4_S179	L3_M4_S195	L3_M4_S196	L3_M4_S197	L3_M4_S48	L3_M4_S49	L3_M4_S50	L3_M4_S51	L3_M4_S52	L3_M4_S53	L3_M4_S54	L3_M4_S55	L3_M4_S56	L3_M4_S57	L3_M4_S58	L3_M4_S59	L3_M4_S60	L3_M4_S61	L3_M4_S62	L3_M4_S63	L3_M4_S64	L3_M4_S65	L3_M4_S66	L3_M4_S67	L3_M4_S69	L3_M4_S70	L3_M4_S71	L3_M4_S72	L3_M4_S74	L3_M4_S75	L3_M4_S76	L3_M4_S77	L3_M4_S78	L3_M4_S79	L3_M4_S80	L3_M4_S81	L3_M4_S82	L3_M4_S83	L3_M4_S84	L3_M4_S85	L3_M4_S86	L3_M4_S87	L3_M4_S88	L3_M4_S89	L3_M4_S90	L3_M4_S91	L3_M4_S92	L3_M4_S93	L3_M4_S94	L3_M4_S95	L3_M4_S96	L3_M4_S97	L3_M4_S98	L3_M4_S99	L46_M4meta	L46_M4_S139	L46_M4_S140	L46_M4_S141	L46_M4_S142	L46_M4_S143	L46_M4_S144	L46_M4_S145	L46_M4_S146	L46_M4_S147	L46_M4_S148	L46_M4_S149	L46_M4_S150	L46_M4_S151	L46_M4_S152	L46_M4_S153	L46_M4_S154	L46_M4_S155	L46_M4_S156	L46_M4_S157	L46_M4_S158	L46_M4_S159	L46_M4_S160	L46_M4_S161	L46_M4_S162	L46_M4_S163	L46_M4_S164	L46_M4_S166	L46_M4_S168	L46_M4_S169	L46_M4_S170	L46_M4_S171	L46_M4_S173	L46_M4_S174	L46_M4_S175	L46_M4_S176	L46_M4_S177	L46_M4_S187	L46_M4_S188	L46_M4_S191	TK7_M4meta	TK7_M4_S25	TK7_M4_S26	TK7_M4_S27	TK7_M4_S28	TK7_M4_S29	TK7_M4_S30	TK7_M4_S33	TK7_M4_S34	TK7_M4_S35	TK7_M4_S36	TK7_M4_S37	TK7_M4_S38	TK7_M4_S39	TK7_M4_S40	TK7_M4_S41	TK7_M4_S42	TK7_M4_S43	TK7_M4_S44	TK7_M4_S45	TK7_M4_S46	TK7_M4_S47	TK7_M4_S48	TK7_M4_S49	TK7_M4_S50	TK7_M4_S51	TK7_M4_S52	TK7_M4_S53	TK7_M4_S54	TK7_M4_S55	TK7_M4_S56	TK7_M4_S57	TK7_M4_S58	TK7_M4_S59	TK7_M4_S60	TK7_M4_S61	TK7_M4_S62	TK7_M4_S63	TK7_M4_S64	TK7_M4_S65	TK7_M4_S66	TK7_M4_S67	TK7_M4_S68	TK7_M4_S69	TK7_M4_S70	TK7_M4_S71	TK7_M4_S72	TK7_M4_S73	TK7_M4_S74	WQ8_M4meta	WQ8_M4_S106	WQ8_M4_S111	WQ8_M4_S117	WQ8_M4_S119	WQ8_M4_S124	WQ8_M4_S126	WQ8_M4_S128	WQ8_M4_S129	WQ8_M4_S135	WQ8_M4_S136	WQ8_M4_S138	WQ8_M4_S139	WQ8_M4_S144	WQ8_M4_S145	WQ8_M4_S146	WQ8_M4_S147	WQ8_M4_S149	WQ8_M4_S153	WQ8_M4_S159	WQ8_M4_S160	WQ8_M4_S162	WQ8_M4_S164	WQ8_M4_S165	WQ8_M4_S167	WQ8_M4_S168	WQ8_M4_S169	WQ8_M4_S170	WQ8_M4_S171	WQ8_M4_S173	WQ8_M4_S174	WQ8_M4_S175	WQ8_M4_S176	WQ8_M4_S177	WQ8_M4_S179	WQ8_M4_S181	WQ8_M4_S182	WQ8_M4_S183	WQ8_M4_S185	WQ8_M4_S186	WQ8_M4_S187	WQ8_M4_S188	WQ8_M4_S189	WQ8_M4_S82	WQ8_M4_S83	WQ8_M4_S84	WQ8_M4_S85	WQ8_M4_S90	WQ8_M4_S92	WQ8_M4_S93	WQ8_M4_S97	WQ8_M4_S99	YC8_M4meta	YC8_M4_S100	YC8_M4_S102	YC8_M4_S103	YC8_M4_S104	YC8_M4_S105	YC8_M4_S106	YC8_M4_S107	YC8_M4_S108	YC8_M4_S109	YC8_M4_S110	YC8_M4_S111	YC8_M4_S112	YC8_M4_S114	YC8_M4_S115	YC8_M4_S116	YC8_M4_S117	YC8_M4_S120	YC8_M4_S121	YC8_M4_S122	YC8_M4_S123	YC8_M4_S126	YC8_M4_S129	YC8_M4_S130	YC8_M4_S131	YC8_M4_S132	YC8_M4_S133	YC8_M4_S134	YC8_M4_S135	YC8_M4_S136	YC8_M4_S137	YC8_M4_S138	YC8_M4_S139	YC8_M4_S140	YC8_M4_S142	YC8_M4_S144	YC8_M4_S145	YC8_M4_S146	YC8_M4_S147	YC8_M4_S148	YC8_M4_S149	YC8_M4_S151	YC8_M4_S152	YC8_M4_S153	YC8_M4_S154	YC8_M4_S75	YC8_M4_S76	YC8_M4_S77	YC8_M4_S78	YC8_M4_S79	YC8_M4_S80	YC8_M4_S82	YC8_M4_S83	YC8_M4_S84	YC8_M4_S85	YC8_M4_S87	YC8_M4_S88	YC8_M4_S89	YC8_M4_S90	YC8_M4_S91	YC8_M4_S93	YC8_M4_S97	YC8_M4_S98	YC8_M4_S99
GCF_000014405.1																																																																																																																																																																																																																																																																																																																																																																																																					
GCF_000751275.1	97.077263																																																																																																																																																																																																																																																																																																																																																																																																				
GCF_000409675.1	96.963425	98.522987																																																																																																																																																																																																																																																																																																																																																																																																			
GCF_000191165.1	99.069565	97.106262	96.925903																																																																																																																																																																																																																																																																																																																																																																																																		
GCF_000284715.1	99.157883	97.234848	97.021652	99.189896																																																																																																																																																																																																																																																																																																																																																																																																	
GCF_000192165.1	97.058197	98.747971	98.385239	97.066208	97.255981																																																																																																																																																																																																																																																																																																																																																																																																
GCF_000056065.1	99.156525	96.966019	96.897736	99.168213	99.276474	97.087326																																																																																																																																																																																																																																																																																																																																																																																															
GCF_000179375.1	97.222755	97.900101	97.778214	97.244003	97.317749	97.883354	97.221207																																																																																																																																																																																																																																																																																																																																																																																														
GCF_000387565.1	96.944061	97.948944	97.788223	96.979782	96.975967	97.883598	97.079391	97.720474																																																																																																																																																																																																																																																																																																																																																																																													
GCF_000182835.1	97.064117	98.096222	98.037201	97.048386	97.058105	97.909119	97.048096	97.959579	97.756638																																																																																																																																																																																																																																																																																																																																																																																												
GCF_000751235.1	97.090401	99.252853	98.626907	96.993248	97.279022	98.699036	97.007462	97.829514	97.797226	98.216766																																																																																																																																																																																																																																																																																																																																																																																											
GCF_000284695.1	99.298676	97.277863	97.003601	99.051506	99.180008	97.183289	99.052811	97.337051	97.062698	96.93129	97.142502																																																																																																																																																																																																																																																																																																																																																																																										
GCF_000751635.1	99.110077	97.166336	96.989944	99.1614	99.95224	97.104134	99.250504	97.204254	96.926132	97.016068	97.188049	99.172424																																																																																																																																																																																																																																																																																																																																																																																									
GCF_000751655.1	97.114288	98.075912	97.902603	97.160126	97.167671	98.127762	97.126572	97.958435	97.90683	98.21505	98.181595	97.045425	97.197548																																																																																																																																																																																																																																																																																																																																																																																								
GCF_000751695.1	97.046127	98.802307	98.434799	97.029488	97.133942	98.719254	97.00174	97.696442	97.667526	98.084366	98.79393	97.038452	97.021965	98.039963																																																																																																																																																																																																																																																																																																																																																																																							
GCF_000751895.1	99.338928	97.145912	96.949448	98.993622	99.047081	97.113846	99.004364	97.250641	97.03479	97.090393	97.119003	99.577927	98.987839	97.178001	97.085785																																																																																																																																																																																																																																																																																																																																																																																						
GCF_001189855.1	96.908096	96.661247	96.670113	96.800751	96.924774	96.693146	97.034325	96.922668	96.782425	96.784531	96.727127	97.014709	96.863724	96.745178	96.634209	96.889534																																																																																																																																																																																																																																																																																																																																																																																					
GCF_001190005.1	97.350281	97.702545	97.515007	97.304314	97.355186	97.643402	97.154114	98.447411	97.77951	97.610466	97.719635	97.339005	97.34108	97.812073	97.516327	97.221359	97.087921																																																																																																																																																																																																																																																																																																																																																																																				
GCF_001263315.1	96.967285	97.906898	97.709381	96.889404	96.950821	97.925262	96.839119	97.583099	97.734901	97.710541	97.970985	97.13356	96.863525	98.071915	97.818481	96.833893	96.766312	97.429169																																																																																																																																																																																																																																																																																																																																																																																			
GCF_001433875.1	96.953201	97.828163	97.602753	96.955765	96.97934	97.865891	96.893227	97.537727	97.741852	97.734016	97.931396	97.120842	96.983612	98.129875	97.737854	96.985352	96.675812	97.476288	99.918289																																																																																																																																																																																																																																																																																																																																																																																		
GCF_001434635.1	97.344986	98.966095	98.737976	97.217056	97.416687	99.89917	97.303909	98.123428	98.128479	98.243118	98.944138	97.465256	97.295662	98.428223	98.989746	97.325592	96.824875	97.867966	98.143013	98.112953																																																																																																																																																																																																																																																																																																																																																																																	
GCF_001435795.1	96.971161	96.792496	96.658188	96.825241	97.055733	96.743118	97.009537	97.004128	96.934334	96.766838	96.746635	97.016281	96.978012	96.770393	96.622597	96.91069	99.961365	97.088135	96.82058	96.769348	96.847321																																																																																																																																																																																																																																																																																																																																																																																
GCF_001437195.1	99.082687	97.137619	96.938492	99.123535	99.321907	97.204468	99.886971	97.333672	97.042618	97.056519	97.20163	99.141068	99.250351	97.149231	97.095825	99.026443	96.962669	97.231293	96.968956	96.989365	97.325989	97.025909																																																																																																																																																																																																																																																																																																																																																																															
GCF_001437485.1	96.933731	97.893326	97.764557	97.004822	97.003967	97.834793	97.069405	97.704102	99.978027	97.781136	97.835648	97.068855	96.964127	98.01152	97.719849	97.051376	96.804939	97.781578	97.699593	97.744415	98.07991	96.907135	97.025124																																																																																																																																																																																																																																																																																																																																																																														
GCF_001469775.1	99.169022	97.084694	96.960449	99.257195	99.385345	97.125504	99.284149	97.238739	97.031937	97.025818	97.157578	99.096268	99.297806	97.188568	97.085083	98.999481	96.911484	97.229416	96.880684	96.984818	97.173157	96.879601	99.231293	97.078705																																																																																																																																																																																																																																																																																																																																																																													
GCF_001510975.1	99.375412	97.219437	97.041183	99.020523	99.176819	97.154175	99.040543	97.367569	97.146896	97.066544	97.265633	99.714333	99.158356	97.200729	97.172546	99.693848	96.891388	97.335754	97.024399	97.042038	97.437927	97.025475	98.999176	97.106232	99.091881																																																																																																																																																																																																																																																																																																																																																																												
GCF_001624905.1	99.936386	97.260941	96.951782	99.056274	99.156281	97.183533	99.168488	97.27269	97.063515	97.053299	97.159676	99.414948	99.149658	97.084747	97.020279	99.315208	96.965263	97.298126	96.92189	96.953415	97.382385	97.040451	99.181602	97.016418	99.117065	99.377869																																																																																																																																																																																																																																																																																																																																																																											
GCF_001624925.1	99.944077	97.265808	96.99881	99.069847	99.186356	97.222977	99.138336	97.327255	97.09967	96.986267	97.239655	99.396912	99.153008	97.025352	97.026283	99.329239	96.917305	97.306335	97.018967	97.022736	97.401398	97.082336	99.167877	97.021744	99.116196	99.401932	99.990555																																																																																																																																																																																																																																																																																																																																																																										
GCF_001647065.1	99.06382	97.246277	97.037308	99.641594	99.33313	97.21167	99.237534	97.429733	97.111404	97.103973	97.307587	99.1353	99.277405	97.084175	97.130981	99.015793	96.888824	97.394951	96.9599	97.074142	97.335609	96.996384	99.243294	97.126343	99.186005	98.972015	99.119736	99.116333																																																																																																																																																																																																																																																																																																																																																																									
GCF_001888905.1	97.012039	98.734802	98.377365	96.944489	96.986053	98.51461	96.964165	97.590103	97.725746	98.057922	98.708771	96.926605	96.763748	97.99353	99.478279	96.98111	96.561455	97.497505	97.767593	97.623222	98.863167	96.509598	96.943199	97.576584	96.962448	97.08078	96.952843	96.972084	96.941391																																																																																																																																																																																																																																																																																																																																																																								
GCF_001888925.1	96.93689	97.709595	97.649399	96.953369	96.876389	97.657211	96.930794	97.568314	99.940353	97.746178	97.697014	96.958176	96.85202	97.854645	97.634766	96.938377	96.798538	97.68161	97.569481	97.642319	98.001038	96.860184	96.888458	99.942337	96.948456	96.97197	96.820618	96.874588	96.977417	97.555283																																																																																																																																																																																																																																																																																																																																																																							
GCF_001888945.1	96.998062	97.713524	97.719833	97.043076	96.93602	97.628952	96.982513	97.633743	98.369591	97.663612	97.722878	97.003357	96.926559	97.84491	97.520798	96.902298	96.653404	97.786148	97.539749	97.612717	97.995636	96.716866	96.996674	98.354836	96.921471	96.995911	96.936218	96.925247	97.050148	97.555786	98.383759																																																																																																																																																																																																																																																																																																																																																																						
GCF_001888965.1	97.37854	97.610832	97.483734	97.356331	97.33049	97.582504	97.268341	98.380875	97.852829	97.638336	97.633713	97.264801	97.313225	97.708435	97.408508	97.232651	96.948608	99.975929	97.507172	97.477676	97.857925	96.989601	97.153008	97.715683	97.319199	97.242493	97.304337	97.301331	97.294899	97.430237	97.643448	97.75309																																																																																																																																																																																																																																																																																																																																																																					
GCF_001888985.1	97.086784	97.979523	97.978271	97.138947	97.122261	98.122375	97.241653	97.917603	97.908417	98.238777	98.140732	97.051239	97.103561	99.931587	98.162994	97.141815	96.752075	97.766312	98.0774	98.076744	98.36808	96.844757	97.153305	97.938942	97.228043	97.158531	97.116219	97.119644	97.196587	98.144005	97.888237	97.9664	97.804153																																																																																																																																																																																																																																																																																																																																																																				
GCF_001908415.1	96.904564	96.590149	96.617569	96.894035	96.909515	96.517792	96.986443	96.909142	96.811951	96.775665	96.535988	96.9188	96.859314	96.696175	96.55825	96.794487	99.940079	96.999893	96.605431	96.575104	96.852081	99.921387	96.887192	96.824158	96.899521	96.881561	96.876968	96.881897	96.880806	96.575089	96.855286	96.790619	97.030716	96.744316																																																																																																																																																																																																																																																																																																																																																																			
GCF_001908495.1	96.748337	97.616447	97.572983	96.715118	96.671509	97.509193	96.676811	97.297806	97.49894	97.504608	97.770973	96.808907	96.702377	97.904655	97.69043	96.742523	96.451294	97.243683	99.82943	99.854416	97.809204	96.396454	96.709427	97.506134	96.748718	96.728088	96.69928	96.702774	96.680344	97.634766	97.50602	97.443542	97.236031	97.908508	96.533813																																																																																																																																																																																																																																																																																																																																																																		
GCF_001953135.1	99.075577	97.138092	96.974838	99.200241	99.273499	96.998352	99.278427	97.218269	96.962242	96.979156	97.045212	99.002861	99.310738	97.120071	96.953445	99.056946	96.916229	97.272781	96.859497	96.987335	97.249786	96.88559	99.222008	97.028046	99.395073	99.10051	99.027184	99.017441	99.145935	97.00222	96.998856	96.983765	97.258545	97.072037	96.884171	96.754745																																																																																																																																																																																																																																																																																																																																																																	
GCF_002000885.1	98.836319	97.093719	96.913651	98.778641	98.863503	97.167389	98.792831	97.21859	96.996216	97.036194	97.045166	98.835815	98.814774	97.109085	97.036049	98.819107	96.928123	97.197906	96.892273	96.969727	97.251053	96.930252	98.773155	97.021408	98.85556	98.886032	98.846558	98.850632	98.701004	97.010666	96.944382	97.00705	97.32972	97.142227	96.86586	96.74688	98.788681																																																																																																																																																																																																																																																																																																																																																																
GCF_002016675.1	97.009529	98.754578	98.303207	96.979614	96.98259	98.537338	97.003731	97.591743	97.670631	98.082718	98.672493	96.966797	96.862404	98.065948	99.489563	96.954102	96.618149	97.511246	97.699577	97.504654	98.873672	96.588135	97.012177	97.581436	97.104752	97.020889	96.923935	96.907227	96.997192	99.962646	97.600586	97.459091	97.442215	98.12822	96.613861	97.600937	96.934578	96.960648																																																																																																																																																																																																																																																																																																																																																															
